id,name,industry,sector,subsector,revenue,revenue_numeric,employees,headquarters,country,region,founded,ceo,website,description,products,services,market_cap,stock_exchange,ticker,subsidiaries,locations,certifications,sustainability_score,innovation_index,digital_maturity,source,scraped_date
north_america_000,Renewable Utilities Resources,Utilities,Energy,Water Treatment,$17.3B,17.297448877354483,29082,"Calgary, Canada",Canada,North America,1922,Michael Davis,www.renewableutilitiesresources.com,"Renewable Utilities Resources specializes in water treatment and related technologies, delivering cutting-edge solutions to industrial customers globally.",Industrial Equipment; Components; Systems,Consulting; Professional Services; Training,$28.2B,TSX,REUT,Renewable Europe; Renewable Services; Renewable Technologies; Renewable Asia,"Montreal, Canada; Uppsala, Sweden; Mexico City, Mexico; Barcelona, Spain; Ecuador, Ecuador; Chile, Chile; Buenos Aires, Argentina; Morocco, Morocco; Durban, South Africa",ISO 45001:2018; ISO 14001:2015; ISO 9001:2015,0.7802640961436728,0.8427147501154117,0.5447640453807197,Industrial Company Database,2025-09-13T22:22:28.578935
north_america_001,Alpha Solutions,Mining,Energy,Metal Mining,$1.4B,1.401342618645179,1966,"Calgary, Canada",Canada,North America,1999,James Smith,www.alphasolutions.com,"Alpha Solutions operates as a diversified mining company, with core expertise in metal mining and a strong global presence.",Systems; Components; Industrial Equipment,Training; Consulting; Technical Support,$3.8B,TSX,ALSO,Alpha Solutions; Alpha Americas; Alpha Asia; Alpha Technologies; Alpha Solutions,"Calgary, Canada; Seoul, South Korea; Ecuador, Ecuador; Philippines, Philippines; Leeds, United Kingdom; Israel, Israel; Bern, Switzerland",ISO 45001:2018; ISO 14001:2015; ISO 9001:2015,0.8010822533829534,0.9643031640828075,0.6192302735297981,Industrial Company Database,2025-09-13T22:22:28.578994
north_america_002,Global Industries Corp.,Plastics,Manufacturing,Composite Materials,$42.6B,42.64332010122865,89258,"Tijuana, Mexico",Mexico,North America,1985,Robert Johnson,www.globalindustriescorp.com,"As a major player in the plastics sector, Global Industries Corp. focuses on composite materials with a commitment to innovation and sustainability.",Systems; Components; Industrial Equipment,Professional Services; Training,$165.7B,BMV,GLIN,Global Americas; Global Services; Global Solutions; Global Services; Global Solutions,"Tijuana, Mexico; Turkey, Turkey; Morocco, Morocco; Sapporo, Japan; Peru, Peru",ISO 14001:2015; ISO 45001:2018; ISO 9001:2015,0.55136795104777,0.6992193793596511,0.37043385728210204,Industrial Company Database,2025-09-13T22:22:28.579039
north_america_003,Food & Beverage Systems,Food & Beverage,Manufacturing,Packaging,$11.3B,11.317016864040628,24429,"Monterrey, Mexico",Mexico,North America,1903,Robert Johnson,www.food&beveragesystems.com,"Founded as a pioneer in food & beverage, Food & Beverage Systems has evolved into a comprehensive packaging company with operations worldwide.",Systems; Components; Industrial Equipment,Consulting; Professional Services; Training; Technical Support,$24.3B,BMV,FO&B,Food Technologies; Food International; Food Americas; Food Solutions; Food International,"Mexico City, Mexico; Buenos Aires, Argentina; Ecuador, Ecuador; Singapore, Singapore; Turkey, Turkey",ISO 45001:2018; ISO 14001:2015; ISO 9001:2015,0.8642477835274891,0.3819463275008903,0.33025556788219085,Industrial Company Database,2025-09-13T22:22:28.579078
north_america_004,Global Solutions,Hardware,Technology,Server Systems,$3.4B,3.367139535078978,6599,"Mexico City, Mexico",Mexico,North America,1977,William Wilson,www.globalsolutions.com,"Global Solutions operates as a diversified hardware company, with core expertise in server systems and a strong global presence.",Components; Industrial Equipment; Systems,Technical Support; Training; Professional Services; Consulting,$8.0B,BMV,GLSO,Global Asia,"Mexico City, Mexico; Toronto, Canada",ISO 45001:2018; ISO 14001:2015; ISO 9001:2015,0.27960954768758084,0.36378744325396295,0.3624443837017052,Industrial Company Database,2025-09-13T22:22:28.579107
north_america_005,Project Construction,Telecommunications,Infrastructure,Fiber Optics,$13.4B,13.362274612670074,31895,"San Diego, United States",United States,North America,1947,Robert Johnson,www.projectconstruction.com,"Founded as a pioneer in telecommunications, Project Construction has evolved into a comprehensive fiber optics company with operations worldwide.",Systems; Industrial Equipment; Components,Training; Professional Services,$47.8B,NYSE/NASDAQ,PRCO,Project Solutions; Project Solutions; Project Solutions; Project Solutions; Project Asia,"Boston, United States; Peru, Peru; Nigeria, Nigeria; Riyadh, Saudi Arabia; Nice, France; Brisbane, Australia; Copenhagen, Denmark; Turin, Italy; Turkey, Turkey; Glasgow, United Kingdom; Gothenburg, Sweden; Thailand, Thailand; Israel, Israel",ISO 14001:2015; ISO 45001:2018; ISO 9001:2015,0.18871696810468547,0.8209575650939032,0.7031564637440038,Industrial Company Database,2025-09-13T22:22:28.579159
north_america_006,Construct Construction,Construction,Infrastructure,Residential Construction,$1.1B,1.0719115683023617,3824,"Mexico City, Mexico",Mexico,North America,1980,Linda Miller,www.constructconstruction.com,"Construct Construction operates as a diversified construction company, with core expertise in residential construction and a strong global presence.",Prefab Structures; Project Management Tools; Construction Equipment,Consulting; Engineering Services,$3.8B,BMV,COCO,Construct Solutions; Construct Europe; Construct Technologies; Construct Technologies; Construct International,"Puebla, Mexico; Chile, Chile; Morocco, Morocco; Eindhoven, Netherlands; London, United Kingdom",OSHA Certified; ISO 45001:2018; ISO 14001:2015; Safety Certified,0.6702790922685402,0.8185400887202474,0.6333815837042999,Industrial Company Database,2025-09-13T22:22:28.579196
north_america_007,AI Digital,AI/ML,Technology,Artificial Intelligence,$1.5B,1.5263178829872193,3005,"Ottawa, Canada",Canada,North America,1984,James Smith,www.aidigital.com,"As a major player in the ai/ml sector, AI Digital focuses on artificial intelligence with a commitment to innovation and sustainability.",Systems; Components; Industrial Equipment,Training; Consulting,$5.3B,TSX,ADI,AI Europe; AI Asia; AI Americas; AI Americas,"Montreal, Canada; Rosario, Argentina; Pretoria, South Africa; Abu Dhabi, UAE; Belgium, Belgium; Chicago, United States",ISO 45001:2018; ISO 9001:2015; ISO 14001:2015,0.796168694007208,0.5590963922727604,0.5176799679059644,Industrial Company Database,2025-09-13T22:22:28.579233
north_america_008,Global Systems,Metals,Manufacturing,Precious Metals,$0.4B,0.38404397844763705,971,"Puebla, Mexico",Mexico,North America,1972,James Smith,www.globalsystems.com,"Global Systems is a leading global provider of precious metals solutions, serving customers across multiple industries with innovative products and services.",Industrial Equipment; Components; Systems,Training; Technical Support,$0.9B,BMV,GLSY,Global Europe; Global Services; Global International; Global Americas; Global Solutions,"Tijuana, Mexico; Malaysia, Malaysia; New York, United States",ISO 45001:2018; ISO 14001:2015; ISO 9001:2015,0.7493104235862544,0.9028896379033773,0.5486043107229615,Industrial Company Database,2025-09-13T22:22:28.579264
north_america_009,Build Projects Corp.,Real Estate,Infrastructure,Infrastructure Investment,$11.4B,11.370322398801415,23791,"Montreal, Canada",Canada,North America,2012,Michael Davis,www.buildprojectscorp.com,"Founded as a pioneer in real estate, Build Projects Corp. has evolved into a comprehensive infrastructure investment company with operations worldwide.",Systems; Industrial Equipment; Components,Consulting; Professional Services; Technical Support,$44.2B,TSX,BUPR,Build Asia,"Calgary, Canada; Austria, Austria",ISO 9001:2015; ISO 14001:2015; ISO 45001:2018,0.9216219141417431,0.25272081196875684,0.30870368394553804,Industrial Company Database,2025-09-13T22:22:28.579292
